          x                  y                  dy                  ddy                  q                  Jz                  EF0                  EF1                  EF2
 -4.0000000     -2.276580677137678      1.999999999999972     -0.761100266159985     -0.648631000419083     -0.761103031984067     -0.012628286108233      0.058788571977908     -0.061377861312270, x_l = -4.000, x_r =  4.000, he =   2.000, gamma =  0.000, a1 =  1.000, a2 =  0.000
 -3.9921875     -2.260979006662829      1.994014583000819     -0.771129736408625     -0.636678062720109     -0.771129719600385     -0.012627740361978      0.058784270126209     -0.061373021087752
 -3.9843750     -2.245424401089762      1.987951670396797     -0.780939355824756     -0.624606908530465     -0.780939312505149     -0.012626930984295      0.058777860628174     -0.061365806002111
 -3.9765625     -2.229917459167274      1.981812974737736     -0.790530678406970     -0.612422316676218     -0.790530774882885     -0.012625594433970      0.058767236249052     -0.061353841624183
 -3.9687500     -2.214458766272934      1.975600198503873     -0.799903282919473     -0.600129056738966     -0.799903191178532     -0.012623740156315      0.058752441455220     -0.061337174508072
 -3.9609375     -2.199048894509876      1.969315058958085     -0.809055709282791     -0.587731885823340     -0.809055764695203     -0.012621377699224      0.058733521379783     -0.061315851953878
 -3.9531250     -2.183688402440316      1.962959276933290     -0.817987828904695     -0.575235545107082     -0.817987816318408     -0.012618516707932      0.058710521792704     -0.061289921975414
 -3.9453125     -2.168377835283644      1.956534574918336     -0.826698798680582     -0.562644756837631     -0.826698782872651     -0.012615166919792      0.058683489070950     -0.061259433267936
 -3.9375000     -2.153117724675573      1.950042685145704     -0.835188190567191     -0.549964221051484     -0.835188215651559     -0.012611338159076      0.058652470168670     -0.061224435175878
 -3.9296875     -2.137908588790529      1.943485337033696     -0.843455800331345     -0.537198612668469     -0.843455778655332     -0.012607040331806      0.058617512587456     -0.061184977660667
 -3.9218750     -2.122750932227810      1.936864266721841     -0.851501232837752     -0.524352578473765     -0.851501246885707     -0.012602283420623      0.058578664346697     -0.061141111268612
 -3.9140625     -2.107645246048445      1.930181208808502     -0.859324511888435     -0.511430734308198     -0.859324504483014     -0.012597077479692      0.058535973954061     -0.061092887098925
 -3.9062500     -2.092592007744076      1.923437899922693     -0.866925539547736     -0.498437662287202     -0.866925542831487     -0.012591432629653      0.058489490376145     -0.061040356771895
 -3.8984375     -2.077591681246458      1.916636075630048     -0.874304459815278     -0.485377908140941     -0.874304458577631     -0.012585359052621      0.058439263009292     -0.060983572397230
 -3.8906250     -2.062644716929663      1.909777470626810     -0.881461451196838     -0.472255978636632     -0.881461451591593     -0.012578866987238      0.058385341650629     -0.060922586542629
 -3.8828125     -2.047751551623455      1.902863817549129     -0.888396822977541     -0.459076339100032     -0.888396822866061     -0.012571966723780      0.058327776469330     -0.060857452202566
 -3.8750000     -2.032912608631319      1.895896846325041     -0.895110972334049     -0.445843411031578     -0.895110972360259     -0.012564668599327      0.058266617978139     -0.060788222767360
 -3.8671875     -2.018128297754936      1.888878283370037     -0.901604396791146     -0.432561569819591     -0.901604396792302     -0.012556982992995      0.058201917005179     -0.060714951992512
 -3.8593750     -2.003399015324480      1.881809850850392     -0.907877687383444     -0.419235142550720     -0.907877687384417     -0.012548920321234      0.058133724666046     -0.060637693968368
 -3.8515625     -1.988725144234690      1.874693265951105     -0.913931527571929     -0.405868405918091     -0.913931527565117     -0.012540491033200      0.058062092336247     -0.060556503090109
 -3.8437500     -1.974107053986571      1.867530240165785     -0.919766690630535     -0.392465584227386     -0.919766690632498     -0.012531705606201      0.057987071623963     -0.060471434028104
 -3.8359375     -1.959545100734582      1.860322478603049     -0.925384037381253     -0.379030847500897     -0.925384037382724     -0.012522574541213      0.057908714343182     -0.060382541698631
 -3.8281250     -1.945039627339162      1.853071679312553     -0.930784513708080     -0.365568309679451     -0.930784513707716     -0.012513108358481      0.057827072487211     -0.060289881235006
 -3.8203125     -1.930590963424447      1.845779532629745     -0.935969148165924     -0.352082026921911     -0.935969148165985     -0.012503317593204      0.057742198202583     -0.060193507959125
 -3.8125000     -1.916199425441045      1.838447720539484     -0.940939049529788     -0.338575996001849     -0.940939049530498     -0.012493212791297      0.057654143763379     -0.060093477353438
 -3.8046875     -1.901865316733684      1.831077916059055     -0.945695404318542     -0.325054152800791     -0.945695404317352     -0.012482804505242      0.057562961545974     -0.059989845033379
 -3.7968750     -1.887588927613633      1.823671782640449     -0.950239474297888     -0.311520370897340     -0.950239474298971     -0.012472103290033      0.057468704004231     -0.059882666720259
 -3.7890625     -1.873370535435689      1.816230973592329     -0.954572594004883     -0.297978460251280     -0.954572594005441     -0.012461119699205      0.057371423645143     -0.059771998214644
 -3.7812500     -1.859210404679628      1.808757131521109     -0.958696168220921     -0.284432165981740     -0.958696168217510     -0.012449864280953      0.057271173004950     -0.059657895370228
 -3.7734375     -1.845108787035924      1.801251887792287     -0.962611669455129     -0.270885167238241     -0.962611669454672     -0.012438347574355      0.057168004625726     -0.059540414068213
 -3.7656250     -1.831065921495622      1.793716862010818     -0.966320635457169     -0.257341076163464     -0.966320635461662     -0.012426580105677      0.057061971032467     -0.059419610192213
 -3.7578125     -1.817082034444169      1.786153661521425     -0.969824666693881     -0.243803436946360     -0.969824666696585     -0.012414572384784      0.056953124710666     -0.059295539603681
 -3.7500000     -1.803157339759098      1.778563880928324     -0.973125423828538     -0.230275724964205     -0.973125423823779     -0.012402334901642      0.056841518084401     -0.059168258117889
 -3.7421875     -1.789292038911366      1.770949101634884     -0.976224625218794     -0.216761346012036     -0.976224625214428     -0.012389878122922      0.056727203494935     -0.059037821480442
 -3.7343750     -1.775486321070226      1.763310891402412     -0.979124044453329     -0.203263635617874     -0.979124044457802     -0.012377212488703      0.056610233179844     -0.058904285344362
 -3.7265625     -1.761740363211464      1.755650803928390     -0.981825507883809     -0.189785858442010     -0.981825507885912     -0.012364348409266      0.056490659252662     -0.058767705247730
 -3.7187500     -1.748054330228858      1.747970378443874     -0.984330892115064     -0.176331207758592     -0.984330892114230     -0.012351296262001      0.056368533683067     -0.058628136591897
 -3.7109375     -1.734428375048705      1.740271139330687     -0.986642121600937     -0.162902805017643     -0.986642121601031     -0.012338066388405      0.056243908277602     -0.058485634620274
 -3.7031250     -1.720862638747268      1.732554595756582     -0.988761166231189     -0.149503699485617     -0.988761166227777     -0.012324669091184      0.056116834660932     -0.058340254397699
 -3.6953125     -1.707357250670996      1.724822241330145     -0.990690038904546     -0.136136867962499     -0.990690038902866     -0.012311114631451      0.055987364257650     -0.058192050790384
